109陽明山慢速壘球聯盟 秋季聯賽 8月16日賽程表(第一週),,,,,,,,,
場次,時間,(山  組),A場地,,(休 閒 組),(陽  組),B場地,,
1,08:00,益  萊,,,獵  狐,,,,
2,09:00,宏  幃,,,益  萊,國真車業,,,牛羊客
3,10:00,獵  狐,,,宏  幃,大日停車場,,,國真車業
4,11:00,黃金台科,,,咚咚強,牛羊客,,,鉅星燈飾
5,12:00,石牌人,,,黃金台科,COMEBUY,,,大日停車場
6,13:00,咚咚強,,,石牌人,鉅星燈飾,,,品  豐
7,14:00,夜  鷹,,,磺  溪,魔人普烏,,,COMEBUY
8,15:00,蝸  牛,,,夜  鷹,品  豐,,,魔人普烏
9,16:00,磺  溪,,,蝸  牛,,,,
場次,時間,(明  組),C場地,,(休 閒 組),備        註,,,
1,08:00,高山校,,,天母慢壘,,,,
2,09:00,自動人,,,高山校,,,,
3,10:00,天母慢壘,,,自動人,,,,
4,11:00,陽壘聯盟,,,Maddog,,,,
5,12:00,協技科技,,,陽壘聯盟,,,,
6,13:00,Maddog,,,協技科技,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 8月23日賽程表(第二週),,,,,,,,,
場次,時間,(休 閒 組),A場地,,,(明  組),B場地,,
1,08:00,東林扶輪社,,,黃金台科,逢  聯,,,FOURTEEN
2,09:00,石牌人,,,東林扶輪社,Maddog,,,逢  聯
3,10:00,黃金台科,,,南港伙車頭,FOURTEEN,,,Maddog
4,11:00,海蛟中隊,,,石牌人,陽壘聯盟,,,弘  泰
5,12:00,南港伙車頭,,,自動人,友勁慢壘,,,陽壘聯盟
6,13:00,咚咚強,,,海蛟中隊,弘  泰,,,友勁慢壘
7,14:00,自動人,,,咚咚強,協技科技,,,正德一隆
8,15:00,,,,,台北鄉民,,,協技科技
9,16:00,,,,,正德一隆,,,台北鄉民
場次,時間,(山  組),C場地,,(陽  組),備        註,,,
1,08:00,夜  鷹,,,宏  幃,,,,
2,09:00,旋  風,,,夜  鷹,,,,
3,10:00,宏  幃,,,旋  風,,,,
4,11:00,益  萊,,,太  和,,,,
5,12:00,陳珀勳診所,,,益  萊,,,,
6,13:00,太  和,,,陳珀勳診所,,,,
7,14:00,江南虎,,,磺  溪,,,,
8,15:00,獵  狐,,,江南虎,,,,
9,16:00,磺  溪,,,獵  狐,,,,
109陽明山慢速壘球聯盟 秋季聯賽 8月30日賽程表(第三週),,,,,,,,,
場次,時間,(陽  組),A場地,,(明  組),(山  組),B場地,,(休 閒 組)
1,08:00,台北鄉民,,,FOURTEEN,鼎捷國際,,,宏  幃
2,09:00,陽壘聯盟,,,台北鄉民,128慢壘,,,鼎捷國際
3,10:00,FOURTEEN,,,陽壘聯盟,宏  幃,,,128慢壘
4,11:00,急先鋒,,,牛羊客,COROKES,,,夜  鷹
5,12:00,利可富,,,急先鋒,江南虎,,,COROKES
6,13:00,牛羊客,,,利可富,夜  鷹,,,江南虎
7,14:00,正德一隆,,,弘  泰,自動人,,,逢聯OB
8,15:00,逢  聯,,,正德一隆,東林扶輪社,,,自動人
9,16:00,弘  泰,,,逢  聯,逢聯OB,,,東林扶輪社
場次,時間,(休 閒 組),C場地,,,備        註,,,
1,08:00,高山校,,,Buddy club,,,,
2,09:00,海蛟中隊,,,高山校,,,,
3,10:00,Buddy club,,,海蛟中隊,,,,
4,11:00,磺  溪,,,旋  風,,,,
5,12:00,太  和,,,磺  溪,,,,
6,13:00,旋  風,,,太  和,,,,
7,14:00,南港伙車頭,,,天母慢壘,,,,
8,15:00,咚咚強,,,南港伙車頭,,,,
9,16:00,天母慢壘,,,咚咚強,,,,
109陽明山慢速壘球聯盟 秋季聯賽 9月6日賽程表(第四週),,,,,,,,,
場次,時間,(山  組),A場地,,(休 閒 組),(明  組),B場地,,(山  組)
1,08:00,南港伙車頭,,,高山校,磺  溪,,,陳珀勳診所
2,09:00,石牌人,,,南港伙車頭,宏  幃,,,磺  溪
3,10:00,高山校,,,石牌人,陳珀勳診所,,,宏  幃
4,11:00,Buddy club,,,咚咚強,CEN YU,,,正德一隆
5,12:00,逢聯OB,,,Buddy club,FOURTEEN,,,CEN YU
6,13:00,咚咚強,,,逢聯OB,正德一隆,,,FOURTEEN
7,14:00,益  萊,,,蝸  牛,FOCUS,,,協技科技
8,15:00,江南虎,,,益  萊,逢  聯,,,FOCUS
9,16:00,蝸  牛,,,江南虎,協技科技,,,逢  聯
場次,時間,(陽  組),C場地,,,備        註,,,
1,08:00,品  豐,,,悍  馬,,,,
2,09:00,國真車業,,,品  豐,,,,
3,10:00,悍  馬,,,國真車業,,,,
4,11:00,廣杰矽膠,,,急先鋒,,,,
5,12:00,COMEBUY,,,廣杰矽膠,,,,
6,13:00,急先鋒,,,COMEBUY,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 9月13日賽程表(第五週),,,,,,,,,
場次,時間,(山  組),A場地,,(陽  組),(休 閒 組),B場地,,
1,08:00,蝸  牛,,,128慢壘,高山校,,,東林扶輪社
2,09:00,獵  狐,,,蝸  牛,咚咚強,,,高山校
3,10:00,128慢壘,,,獵  狐,東林扶輪社,,,咚咚強
4,11:00,旋  風,,,益  萊,天母慢壘,,,石牌人
5,12:00,COROKES,,,旋  風,逢聯OB,,,天母慢壘
6,13:00,益  萊,,,COROKES,石牌人,,,逢聯OB
7,14:00,鉅星燈飾,,,魔人普烏,海蛟中隊,,,自動人
8,15:00,利可富,,,鉅星燈飾,黃金台科,,,海蛟中隊
9,16:00,魔人普烏,,,利可富,自動人,,,黃金台科
場次,時間,(明  組),C場地,,,備        註,,,
1,08:00,FOURTEEN,,,協技科技,,,,
2,09:00,友勁慢壘,,,FOURTEEN,,,,
3,10:00,協技科技,,,友勁慢壘,,,,
4,11:00,FOCUS,,,陽壘聯盟,,,,
5,12:00,正德一隆,,,FOCUS,,,,
6,13:00,陽壘聯盟,,,正德一隆,,,,
7,14:00,弘  泰,,,Maddog,,,,
8,15:00,台北鄉民,,,弘  泰,,,,
9,16:00,Maddog,,,台北鄉民,,,,
109陽明山慢速壘球聯盟 秋季聯賽 9月20日賽程表(第六週),,,,,,,,,
場次,時間,(休 閒 組),A場地,,,(陽  組),B場地,,(明  組)
1,08:00,石牌人,,,Buddy club,大日停車場,,,急先鋒
2,09:00,自動人,,,石牌人,品  豐,,,大日停車場
3,10:00,Buddy club,,,自動人,急先鋒,,,品  豐
4,11:00,東林扶輪社,,,海蛟中隊,牛羊客,,,廣杰矽膠
5,12:00,天母慢壘,,,東林扶輪社,悍  馬,,,牛羊客
6,13:00,海蛟中隊,,,天母慢壘,廣杰矽膠,,,悍  馬
7,14:00,,,,,協技科技,,,CEN YU
8,15:00,,,,,弘  泰,,,協技科技
9,16:00,,,,,CEN YU,,,弘  泰
場次,時間,(山  組),C場地,,,備        註,,,
1,08:00,江南虎,,,旋  風,,,,
2,09:00,128慢壘,,,江南虎,,,,
3,10:00,旋  風,,,128慢壘,,,,
4,11:00,鼎捷國際,,,益  萊,,,,
5,12:00,夜  鷹,,,鼎捷國際,,,,
6,13:00,益  萊,,,夜  鷹,,,,
7,14:00,宏  幃,,,COROKES,,,,
8,15:00,蝸  牛,,,宏  幃,,,,
9,16:00,COROKES,,,蝸  牛,,,,
109陽明山慢速壘球聯盟 秋季聯賽 9月27日賽程表(第七週),,,,,,,,,
場次,時間,(明  組),A場地,,(休 閒 組),(山  組),B場地,,
1,08:00,Buddy club,,,黃金台科,夜  鷹,,,陳珀勳診所
2,09:00,天母慢壘,,,Buddy club,獵  狐,,,夜  鷹
3,10:00,黃金台科,,,天母慢壘,陳珀勳診所,,,獵  狐
4,11:00,台北鄉民,,,逢  聯,磺  溪,,,128慢壘
5,12:00,CEN YU,,,台北鄉民,益  萊,,,磺  溪
6,13:00,逢  聯,,,CEN YU,128慢壘,,,益  萊
7,14:00,弘  泰,,,FOCUS,鼎捷國際,,,太  和
8,15:00,FOURTEEN,,,弘  泰,蝸  牛,,,鼎捷國際
9,16:00,FOCUS,,,FOURTEEN,太  和,,,蝸  牛
場次,時間,(陽  組),C場地,,,備        註,,,
1,08:00,悍  馬,,,利可富,,,,
2,09:00,大日停車場,,,悍  馬,,,,
3,10:00,利可富,,,大日停車場,,,,
4,11:00,COMEBUY,,,品  豐,,,,
5,12:00,牛羊客,,,COMEBUY,,,,
6,13:00,品  豐,,,牛羊客,,,,
7,14:00,廣杰矽膠,,,國真車業,,,,
8,15:00,魔人普烏,,,廣杰矽膠,,,,
9,16:00,國真車業,,,魔人普烏,,,,
109陽明山慢速壘球聯盟 秋季聯賽 10月18日賽程表(第八週),,,,,,,,,
場次,時間,(山  組),A場地,,,,B場地,,(陽  組)
1,08:00,旋  風,,,蝸  牛,魔人普烏,,,悍  馬
2,09:00,陳珀勳診所,,,旋  風,急先鋒,,,魔人普烏
3,10:00,蝸  牛,,,陳珀勳診所,悍  馬,,,急先鋒
4,11:00,太  和,,,夜  鷹,鉅星燈飾,,,廣杰矽膠
5,12:00,128慢壘,,,太  和,大日停車場,,,鉅星燈飾
6,13:00,夜  鷹,,,128慢壘,廣杰矽膠,,,大日停車場
7,14:00,COROKES,,,鼎捷國際,利可富,,,國真車業
8,15:00,磺  溪,,,COROKES,COMEBUY,,,利可富
9,16:00,鼎捷國際,,,磺  溪,國真車業,,,COMEBUY
場次,時間,(明  組),C場地,,,備        註,,,
1,08:00,友勁慢壘,,,逢  聯,,,,
2,09:00,台北鄉民,,,友勁慢壘,,,,
3,10:00,逢  聯,,,陽壘聯盟,,,,
4,11:00,FOCUS,,,台北鄉民,,,,
5,12:00,陽壘聯盟,,,CEN YU,,,,
6,13:00,Maddog,,,FOCUS,,,,
7,14:00,CEN YU,,,Maddog,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 10月25日賽程表(第九週),,,,,,,,,
場次,時間,(明  組),A場地,,(休 閒 組),(陽  組),B場地,,
1,08:00,Maddog,,,友勁慢壘,大日停車場,,,魔人普烏
2,09:00,正德一隆,,,Maddog,牛羊客,,,大日停車場
3,10:00,友勁慢壘,,,正德一隆,魔人普烏,,,牛羊客
4,11:00,海蛟中隊,,,逢聯OB,急先鋒,,,鉅星燈飾
5,12:00,南港伙車頭,,,海蛟中隊,國真車業,,,急先鋒
6,13:00,逢聯OB,,,南港伙車頭,鉅星燈飾,,,國真車業
7,14:00,,,,,廣杰矽膠,,,利可富
8,15:00,,,,,品  豐,,,廣杰矽膠
9,16:00,,,,,利可富,,,品  豐
場次,時間,(山  組),C場地,,,備        註,,,
1,08:00,太  和,,,江南虎,,,,
2,09:00,宏  幃,,,太  和,,,,
3,10:00,江南虎,,,宏  幃,,,,
4,11:00,旋  風,,,鼎捷國際,,,,
5,12:00,獵  狐,,,旋  風,,,,
6,13:00,鼎捷國際,,,獵  狐,,,,
7,14:00,128慢壘,,,COROKES,,,,
8,15:00,陳珀勳診所,,,128慢壘,,,,
9,16:00,COROKES,,,陳珀勳診所,,,,
109陽明山慢速壘球聯盟 秋季聯賽 11月1日賽程表(第十週),,,,,,,,,
場次,時間,(休 閒 組),A場地,,(明  組),(山  組),B場地,,(陽  組)
1,08:00,黃金台科,,,高山校,COROKES,,,獵  狐
2,09:00,逢聯OB,,,黃金台科,太  和,,,COROKES
3,10:00,高山校,,,逢聯OB,獵  狐,,,太  和
4,11:00,Buddy club,,,南港伙車頭,FOCUS,,,友勁慢壘
5,12:00,東林扶輪社,,,Buddy club,CEN YU,,,FOCUS
6,13:00,南港伙車頭,,,東林扶輪社,友勁慢壘,,,CEN YU
7,14:00,鼎捷國際,,,江南虎,鉅星燈飾,,,COMEBUY
8,15:00,陳珀勳診所,,,鼎捷國際,悍  馬,,,鉅星燈飾
9,16:00,江南虎,,,陳珀勳診所,COMEBUY,,,悍  馬
場次,時間,C場地,,,,備        註,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 11月8日賽程表(第十一週),,,,,,,,,
場次,時間,A場地,,,,B場地,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
場次,時間,C場地,,,,備        註,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 11月15日賽程表(第十二週),,,,,,,,,
場次,時間,A場地,,,,B場地,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
場次,時間,C場地,,,,備        註,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 11月22日賽程表(第十三週),,,,,,,,,
場次,時間,A場地,,,,B場地,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
場次,時間,C場地,,,,備        註,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 11月29日賽程表(第十四週),,,,,,,,,
場次,時間,A場地,,,,B場地,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
場次,時間,C場地,,,,備        註,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 12月6日賽程表(第十五週),,,,,,,,,
場次,時間,A場地,,,,B場地,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
場次,時間,C場地,,,,備        註,,,
1,08:00,,,,,雨備日,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
109陽明山慢速壘球聯盟 秋季聯賽 12月13日賽程表(第十六週),,,,,,,,,
場次,時間,A場地,,,,B場地,,,
1,08:00,,,,,,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
場次,時間,C場地,,,,備        註,,,
1,08:00,,,,,雨備日,,,
2,09:00,,,,,,,,
3,10:00,,,,,,,,
4,11:00,,,,,,,,
5,12:00,,,,,,,,
6,13:00,,,,,,,,
7,14:00,,,,,,,,
8,15:00,,,,,,,,
9,16:00,,,,,,,,
